ItemName*Price*Description
SIGNATURE COCKTAIL*0*
CHIPOTLE PICANTE*825*Tequila | Chipotle Tabasco | Lime Chipotle | Agave | Coriander Leaves Jalapeno | House Peri-Peri Salt | Bubbles
PALOMA S COUSIN*825*Tequila | Grapefruit Clarified Mixed Berries Effervescence
CHERRYCO*825*Gin | Cocalero | Yuzu | Cherry Liqueur Malic | Effervescence Cherries
NEIGHBOURHOOD DELIGHT*800*Blended Scotch | Plum Liqueur Yuzu | Honey | Effervescence Fresh Plum
CLARIFIED RAW MANGO WINE*750*Ketel One Vodka | Raw Mango House Processed Mango Wine Himalayan Pink Salt
SPICED JAMUN BELLINI*750*White Rum | Citrus Spiced Jamun Syrup Sparkling Wine | Microgreen Leaf
AFTERGLOW COLLINS*750*Gin | Watermelon | Cucumber Lime | Mint | Soda
INDICA BLUSH*750*Vodka | Kokum Syrup Coriander | Jalapeno Special Spice Mix | Flavoured Soda
TRIPLE A*750*Tequila | Aperol | Malic Spiced Jamun Saccharum Orange Zest
CHOCOLATE RITUAL*750*Bourbon Whiskey | Coffee Liqueur Amaro | White Cacao | Aromatic Bitters Whey Clarified
ELYSIUM*725*J.W. Blond Whiskey | Curry Leaf Apple Juice | Sour Mix (egg white optional)
CUBAN PEACH*725*White Rum | Hydrosol Peach Vapour Basil | Passion Fruit | Lime Aerated Water
CLASSIC COCKTAILS*0*
BOULVADIER*850*Bourbon Whiskey | Campari | Sweet Vermouth
OLD FASHIONED*800*Bourbon Whiskey | Angostura | Sugar
MANHATTAN*800*Bourbon Whiskey | Sweet Vermouth | Bitters
LONG ISLAND ICED TEA*775*Vodka | White Rum | Tequila | Gin Triple Sec | Lime | Cola
MARGARITA*775*Tequila | Triple Sec | Sour mix
NEGRONI*775*Gin | Campari | Sweet Vermouth
ESPRESSO MARTINI*750*Vodka | Kahlua | Cold Brew Vanilla Essence | Coffee Beans
WHISKEY SOUR*725*Whiskey | Sour Mix | Lime
MARTINI*725*Gin | Dry Vermouth | Olive
COSMOPOLITION*725*Vodka | Triple Sec Cranberry Juice | Lime
CAIPIROSKA*725*Vodka | Lime | Sugar
MOJITO*725*White Rum | Lime | Mint | Sugar
CLASSIC DAIQUIRI*725*White Rum | Lime | Sugar
SANGRIAS*0*
SULA BRUT BOTTLE*4400*
RED SANGRIA PIT*3850*
WHITE SANGRIA PIT*3850*
SULA RED*3025*
SULA BRUT GLS*825*
SULA RED GLS*650*
RED SANGRIA*650*
WHITE SANGRIA*650*
SULA WHITE GLS*625*
WINE BY BOTTLE*0*
VILLA ANTINORI ROSSO *14300*Villa Antinori Tosacana is deep ruby red in color. Its nose is intense and complex defined by notes of wild berries, blue berrie sand blackcurrants, and notes of toasted hazelnuts, spices and vanilla. A full-bodied palate is well rounded with supple velvety tannins and along savory finish.
CIAMPOLETO ROSSO DI MONTALCINO DOC *12000*From Italy's renowned Montalcino region, it has a robust taste profile features ripe cherry, plum, and earthy notes, complemented by firm tannins.
NOBODYS SAUVIGNON BLANC *10450*Intense sauvignon with tropical fruit, passionfruit, guava, pineapple, lemongrass and green capsicum flavours.
CHATEAU DE FONTILLE ROUGE PASSION BORDEAUX AOC *9900*Grown at Fontenille since the 13th century. This wine has a ruby colour, this is an elegant wine with lingering berry fruit notes.
CASA BOTTEGA PROSECCO ROSE*8250*
MONTGRAS CAB SAUVIGNON*8250*From Chile's Colchagua Valley, it showcases a bold and expressive character of the unique terroir of the valley. It has a rich profile with ripe blackberry, cassis, and dark chocolate notes.
SANTA JULIA MALBEC*7700*Deep red violet with blue hues. Very aromatic, with great presence of ripe red fruits typical of the variety and floral notes of violets. The aromas provided by the oak aging are integrated and manifest in notes of tobacco,leather and spices.
DE MARTINO ESTATE CHARDONNAY*7700*"Pale yellow straw color. Fresh aromas of ripe citrus and peach, lead to a soft textured, medium bodied palate. The ripe citrus fruit character is balanced by fresh acidity and moderate alcohol with a lingering finish."
ZONIN MONTEPULCIANO DABRUZZO DOC*7700*Zonin is a historic benchmark of Italian wineries, located in the heart of Veneto, at the foot of the Lessini mountains. Montepulciano d'Abruzzo is medium-bodied, dry, well-balanced, mellow and berry.
BLACK TOWER PINOT NOIR *7700*Tasty German red wine made from the Pinot Noir grape, which is called Dornfelder in Germany, with some bright cherry notes and good acidity
BLACK TOWER RIESLING *7250*From Germany's renowned Rheinhessen region, it has a crisp taste profile featuring vibrant notes of ripe peach, citrus zest, and honey, balanced by a refreshing acidity and a hint of minerality
LUIS CANAS CRIANZA*7150*
MANNARA PINOT GRIGIO *7150*A dry, easy drinking Sicilian white with a floral aroma and flavours of citrus, apple, pear, vanilla and almonds.
GRAN SELLO TEMPRANILLO SYRAH*6600*From Spain's esteemed Castilla-La Mancha region, it presents a bold taste profile with ripe blackberry, plum, and hints of spice, marrying the rich fruitiness of Tempranillo with the peppery allure of Syrah.
MATEUS ROSE*6000*
